name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude,provinsi
"Dr.Putu Dwi Malaika, Sp.KJ",Psychiatrist,"v3rr+x8j dr.putu dwi malaika, sp.kj, kp. kajanan, kec. buleleng, kabupaten buleleng, bali 81113, indonesia",tidak diketahui,+62 362 551421,1.0,1.0,115.090707,-8.107393,Bali
"Hipnoterapi Bali, Tomy Hipnoterapi",Mental health clinic,"hipnoterapi bali, tomy hipnoterapi, hipnoterapi bali, hipnoterapi denpasar, jl. tukad tegal wangi no.10, sesetan, denpasar selatan, kota denpasar, bali 80225, indonesia",https://www.tomywahyudi.com/,+62 817-9730-891,0.0,19.0,115.2182447,-8.6889669,Bali
(Praktik Psikolog Denpasar),Psychologist,"(praktik psikolog denpasar), jl. tukad musi no.17a, renon, denpasar barat, denpasar city, bali 80226, indonesia",tidak diketahui,tidak diketahui,5.0,10.0,115.2302677,-8.6759424,Bali
LPT Solusi Banten,Psychologist,"lpt solusi banten, perum taman mutiara indah blok b6 no. 17, rt.001/rw.016, kaligandu, kec. serang, kota serang, banten 42116, indonesia",https://lptsolusibanten.com/,+62 853-1148-7755,5.0,22.0,106.1742371,-6.1001043,Banten
Yayasan Praktek Psikolog Indonesia Cabang Tangsel,Psychotherapist,"yayasan praktek psikolog indonesia cabang tangsel, jl. utama puri bintaro hijau kel no.6 blok c1, pd. aren, kec. pd. aren, kota tangerang selatan, banten 15424, indonesia",http://www.praktekpsikolog.com/,+62 21 27563512,0.0,78.0,106.7084556,-6.2552112,Banten
Psikolog Ririn (B15/24),Psychologist,"psikolog ririn (b15/24), perumahan banten indah permai blok b15/24, unyur, kota serang, banten 42111, indonesia",tidak diketahui,+62 877-8235-4678,0.0,25.0,106.1693641,-6.0940512,Banten
Caring & Hope Psikologi,Psychologist,"caring & hope psikologi, komplek ruko graha ona, jl. siliwangi jl. pasir ona no.6 blok b, east rangkasbitung, rangkasbitung, lebak regency, banten 42311, indonesia",tidak diketahui,+62 812-1974-4255,5.0,3.0,106.2619368,-6.3720347,Banten
Melly Suwarna Play Therapy and Depth Psychotherapy,Psychologist,"melly suwarna play therapy and depth psychotherapy, latinos business district c9/16, bsd city, kec. serpong, kota tangerang selatan, banten 15310, indonesia",http://www.mellysuwarna.com/,+62 859-2170-2407,5.0,17.0,106.6798931,-6.3203135,Banten
Yayasan Praktek Psikolog Indonesia,Psychologist,"yayasan praktek psikolog indonesia, gedung bintaro bussiness centre, jl. rc. veteran raya no.1-i, rt.1/rw.3, bintaro, kec. pesanggrahan, kota jakarta selatan, daerah khusus ibukota jakarta 12330, indonesia",http://www.praktekpsikolog.com/,+62 21 7362639,0.0,182.0,106.764778,-6.272109,DKI Jakarta
Nous Consulting Indonesia (Konsultan Psikologi Tangerang),Psychologist,"nous consulting indonesia (konsultan psikologi tangerang), metropolis town square ruko gm7 no.12, jl. hartono raya, rt.003/rw.006, klp. indah, kec. tangerang, kota tangerang, banten 15118, indonesia",http://www.nous-id.com/,+62 815-1642-909,5.0,6.0,106.6361998,-6.1972863,Banten
Five Psikologi | Biro Konsultasi Psikologi Tangerang Selatan,Psychologist,"five psikologi | biro konsultasi psikologi tangerang selatan, jl. lurah disah kholam residence no.1, pisangan timur, ciputat timur, south tangerang city, banten 15412, indonesia",https://fivepsikologi.com/,+62 819-0814-3555,5.0,29.0,106.7535352,-6.321643,Banten
Psikolog & Terapi Fideya,Psychologist,"psikolog & terapi fideya, blok b3.19a jalan kalimantan, kompleks jl. komp. villa bintaro indah, jombang, kec. ciputat, kota tangerang selatan, banten 15414, indonesia",http://www.fideya.my.id/,+62 819-0896-0073,5.0,32.0,106.7039734,-6.2940484,Banten
Smart Mind Center Consulting Alam Sutera,Psychologist,"smart mind center consulting alam sutera, jl. alam sutera town center, jl. alam sutera boulevard no.35 blok c10, pakulonan, kec. serpong utara, kota tangerang selatan, banten 15325, indonesia",http://www.smartmindcenterconsulting.com/,+62 877-8165-8181,0.0,76.0,106.6539153,-6.242621,Banten
Psikolog Industri dan Organisasi (Konsultan MSDM / HRD) BQND Consulting,Psychologist,"psikolog industri dan organisasi (konsultan msdm / hrd) bqnd consulting, permata tangerang, blk. fa, gelam jaya, pasar kemis, tangerang regency, banten 15560, indonesia",https://sites.google.com/view/pthumanpersonaindonesia/,+62 895-2777-8999,5.0,31.0,106.5729771,-6.1616063,Banten
BIRO KONSULTASI PSIKOLOGI PESONA,Psychologist,"biro konsultasi psikologi pesona, sindangsari, kec. ps. kemis, kabupaten tangerang, banten 15560, indonesia",tidak diketahui,+62 813-8252-1938,5.0,7.0,106.5366078,-6.1443483,Banten
Kayross Psikologi,Psychologist,"kayross psikologi, alam sutera, cluster harmoni, jl. sutera harmoni utama no.15, pd. jagung, kec. serpong utara, kota tangerang selatan, banten 15326, indonesia",http://www.kayrossconsulting.com/,+62 21 5398931,0.0,149.0,106.6598708,-6.2543513,Banten
Yayasan Praktek Psikolog Indonesia Cabang Ciledug-Pondok Aren,Psychologist,"yayasan praktek psikolog indonesia cabang ciledug-pondok aren, blok b7 no.18, jl. utama puri bintaro hijau jl. arjuna 4, pd. aren, kec. pd. aren, kota tangerang selatan, banten 15224, indonesia",http://www.praktekpsikolog.com/,+62 812-1249-3404,5.0,2.0,106.7093437,-6.2559788,Banten
Grahita Indonesia Serang,Psychologist,"grahita indonesia serang, jl. grand sutera serang no.39 blok a4, panancangan, kec. cipocok jaya, kota serang, banten 42124, indonesia",http://grahita.org/,+62 877-7149-8115,0.0,7.0,106.2046068,-6.1108353,Banten
Salvia Biro Psikologi & Therapy Center,Psychologist,"salvia biro psikologi & therapy center, jl. salvia 2 no.52 blok ua, rw. buntu, kec. serpong, kota tangerang selatan, banten 15318, indonesia",https://www.anakpelangicenter.com/,+62 812-8875-0162,5.0,29.0,106.6794407,-6.3014148,Banten
Grahita Indonesia Kabupaten Tangerang,Psychologist,"grahita indonesia kabupaten tangerang, jl. mandala raya no 20. perum pondok dewata, munjul, kec. tigaraksa, kabupaten tangerang, banten 15730, indonesia",https://grahitakbtangerang.com/,+62 877-7177-7056,5.0,3.0,106.4620257,-6.279367,Banten
NIDO - Development Center & Psychology Services (Griya Loka),Psychologist,"nido - development center & psychology services (griya loka), jalan suplir blok f1 no.20, rt04, rw.02, lengkong gudang tim., kec. serpong, kota tangerang selatan, banten 15310, indonesia",https://www.nidopsikologi.com/,+62 898-9174-422,0.0,16.0,106.6796746,-6.299596,Banten
Biro Psikologi Esensia Psychology Consultant,Psychologist,"biro psikologi esensia psychology consultant, jl. bukit baja griya komplek bbs 3 blok b3 no.1a, ciwaduk, kec. cilegon, kota cilegon, banten 42415, indonesia",tidak diketahui,+62 821-3810-5551,5.0,41.0,106.0433658,-6.0283798,Banten
Yayasan Keluarga Biro Konsultasi Psikologi Nuansa,Psychologist,"rj77+764 yayasan keluarga biro konsultasi psikologi nuansa, jl. proklamasi, rt.004/rw.009, cimone, kec. karawaci, kota tangerang, banten 15114, indonesia",https://nuansaconsulting.com/,+62 812-8453-550,5.0,3.0,106.6130864,-6.1868714,Banten
Siti Bahiyah Psikolog Klinis,Psychologist,"siti bahiyah psikolog klinis, jl. h. rain i no.96, rt.003/rw.005, ketapang, cipondoh, tangerang city, banten 15147, indonesia",https://psikologbahiyah.carrd.co/,+62 821-1154-7973,5.0,17.0,106.6966746,-6.183429,Banten
Kinderhütte,Psychologist,"kinderhütte, serpong garden 1, green park no.c08/09, kec. cisauk, kabupaten tangerang, banten 15341, indonesia",https://kinderhuette.com/,+62 812-1111-6907,0.0,24.0,106.6381197,-6.336723,Banten
Cahaya Psikologi Indonesia,Psychologist,"cahaya psikologi indonesia, jl. poksay no.a5 no.2, east pamulang, pamulang, south tangerang city, banten 15417, indonesia",tidak diketahui,+62 822-9890-0600,0.0,7.0,106.7478118,-6.3422191,Banten
Lingkar Psikologi (Konseling Corner),Mental health service,"lingkar psikologi (konseling corner), jl. bsd raya utama, pagedangan, tangerang regency, banten 15345, indonesia",https://instagram.com/psycircle.id?igshid=MzRlODBiNWFlZA==,+62 895-0417-3418,0.0,8.0,106.6428081,-6.3045312,Banten
Bicarakan - Konsultasi & Konseling dengan Psikolog Profesional,Psychologist,"bicarakan - konsultasi & konseling dengan psikolog profesional, idx tower 1, jl. jenderal sudirman no.304 level 3, senayan, kecamatan tanah abang, jakarta, daerah khusus ibukota jakarta 12190, indonesia",https://www.bicarakan.id/,+62 819-1000-9224,0.0,152.0,106.7999714,-6.2285654,DKI Jakarta
Ohana Space - Psychology Space,Psychologist,"ohana space - psychology space, green lake city, rukan cbd blok m nomor 18a, rt.10/rw.11, ketapang, kec. cipondoh, kota tangerang, banten 15147, indonesia",https://ohanaspace.id/,+62 21 31112920,0.0,35.0,106.698302,-6.1839033,Banten
Grahita Indonesia Produksi,Psychologist,"grahita indonesia produksi, jl. bugel mas indah no.02 blok d9, rt.004/rw.006, bugel, kec. karawaci, kota tangerang, banten 15114, indonesia",https://grahita.org/tentang-kami/,+62 21 5517190,5.0,6.0,106.6064595,-6.1763348,Banten
FATHAN COUNSELING,Psychopedagogy clinic,"fathan counseling, link.tegal cabe no.99, rt.004/rw.002, citangkil, kec. citangkil, kota cilegon, banten 42441, indonesia",tidak diketahui,+62 878-6279-7754,5.0,146.0,106.0407766,-6.0207936,Banten
Praktek Psikolog Maria Ulfah M.Psi,Psychologist,"vpf4+62w praktek psikolog maria ulfah m.psi, jl. raya citra garden 3, rt.3/rw.13, pegadungan, kec. kalideres, kota jakarta barat, daerah khusus ibukota jakarta 11830, indonesia",http://www.balitaceria.com/,+62 813-8264-5791,5.0,68.0,106.705074,-6.126898,DKI Jakarta
Rumah Bicara Puri Indah - Konseling Psikolog di Jakarta Barat,Psychologist,"rumah bicara puri indah - konseling psikolog di jakarta barat, ruko bumi permata indah, blok ri 38b, karang mulya, karang tengah, jakarta, banten 15157, indonesia",https://www.bicarakan.id/,+62 819-1000-9224,5.0,149.0,106.7243363,-6.1931055,DKI Jakarta
Psikologi Hubungan,Psychologist,"x578+2x9 psikologi hubungan, gg. swaztika, banten, kasemen, serang city, banten 42191, indonesia",http://jeinspirate.blogspot.com/,+62 878-0818-2009,5.0,2.0,106.167476,-6.0374713,Banten
Optimax Potential,Psychologist,"optimax potential, jl. kapten piere tendean, masigit, jombang, cilegon, banten, indonesia",tidak diketahui,+62 859-4515-7373,0.0,54.0,106.0609407,-6.00895,Banten
"Praktek Psikolog; Hedz Psikologi: Pusat Psikotes, Terapi, Training, dan Konsultasi Psikolog",Mental health service,"praktek psikolog; hedz psikologi: pusat psikotes, terapi, training, dan konsultasi psikolog, gapura office:, jl. rs. fatmawati raya no.blok a18, rt.4/rw.4, west cilandak, cilandak, south jakarta city, jakarta 12430, indonesia",tidak diketahui,+62 851-7965-6671,0.0,17.0,106.7944245,-6.297434,DKI Jakarta
Rumah Psikolog,Psychologist,"rumah psikolog, jl. plamboyan blok d/kh no.25, rt.4/rw.4, sawah lama, ciputat, south tangerang city, banten 15413, indonesia",tidak diketahui,tidak diketahui,5.0,2.0,106.7395528,-6.2948348,Banten
Konsultasi Psikolog Rumah Dandelion,Psychologist,"konsultasi psikolog rumah dandelion, jl. taman wijaya kusuma no.4 blok e, rt.8/rw.4, pondok labu, cilandak, south jakarta city, jakarta 12450, indonesia",http://www.rumahdandelion.com/,+62 812-8489-1683,0.0,49.0,106.802205,-6.3024928,DKI Jakarta
Jejak kaki - Pusat Pengembangan Psikologi,Psychologist,"jejak kaki - pusat pengembangan psikologi, jl. bintaro permai ii no.24 3, rt.3/rw.9, bintaro, kec. pesanggrahan, kota jakarta selatan, daerah khusus ibukota jakarta 12330, indonesia",tidak diketahui,+62 878-7729-1530,0.0,27.0,106.763931,-6.2598324,DKI Jakarta
Rumah Konseling,Psychologist,"rumah konseling, jl. h. saidin no.17, bambu apus, pamulang, south tangerang city, banten 15415, indonesia",http://facebook.com/rumahkonseling,+62 21 7491577,0.0,12.0,106.7379629,-6.3295141,Banten
Praktek Psikolog Cabang Kembangan,Psychologist,"praktek psikolog cabang kembangan, infiniti office, permata regency, jl. h. kelik no.1 d/37, rt.1/rw.6, srengseng, kec. kembangan, kota jakarta barat, daerah khusus ibukota jakarta 11630, indonesia",http://www.praktekpsikolog.com/,+62 812-1249-3404,5.0,3.0,106.7641806,-6.2084958,DKI Jakarta
Ibunda.id,Psychologist,"ibunda.id, blok rini no, jl. ampera raya no.12a, rt.6/rw.2, ragunan, kec. ps. minggujakarta, south jakarta city, jakarta 12540, indonesia",https://www.ibunda.id/,+62 819-1523-7935,0.0,2238.0,106.8192751,-6.289764,DKI Jakarta
Insight Psikologi [BSD] | Psikolog | Terapi Tumbuh Kembang Anak | Tes IQ & Minat Bakat,Psychologist,"insight psikologi [bsd] | psikolog | terapi tumbuh kembang anak | tes iq & minat bakat, northridge bussiness centre, jl. bsd raya utama no.b2 no. 18, lengkong kulon, serpong sub-district, south tangerang city, banten 15310, indonesia",https://insightpsikologi.com/,tidak diketahui,5.0,17.0,106.6356052,-6.277013,Banten
DIANDRA Pusat Tumbuh Kembang Anak & Sekolah DIANDRA,Psychologist,"diandra pusat tumbuh kembang anak & sekolah diandra, jl. imam bonjol no.28, rt.001/rw.8, panunggangan bar., kec. cibodas, kota tangerang, banten 15138, indonesia",tidak diketahui,+62 859-4604-5567,5.0,9.0,106.6190859,-6.2142309,Banten
Psikolog Jennyfer,Psychologist,"psikolog jennyfer, perumahan puri mansion, jl. atlanta iii no.58, south kembangan, kembangan, west jakarta city, jakarta 11610, indonesia",http://instagram.com/jen.psikolog/,+62 812-8796-8664,5.0,303.0,106.7257582,-6.1824304,DKI Jakarta
